ano,trimestre,product_category_name,total_vendas
2018,2,eletrodomesticos_2,65
2018,2,eletronicos,640
2018,2,eletroportateis,165
2018,2,esporte_lazer,1518
2018,2,fashion_bolsas_e_acessorios,305
2018,2,fashion_calcados,31
2018,2,fashion_esporte,1
2018,2,fashion_roupa_feminina,5
2018,2,fashion_roupa_infanto_juvenil,1
2018,2,fashion_roupa_masculina,9
2018,2,fashion_underwear_e_moda_praia,19
2018,2,ferramentas_jardim,764
2018,2,flores,6
2018,2,fraldas_higiene,14
2018,2,industria_comercio_e_negocios,120
2018,2,informatica_acessorios,1416
2018,2,instrumentos_musicais,168
2018,2,la_cuisine,2
2018,2,livros_importados,23
2018,2,livros_interesse_geral,142
2018,2,livros_tecnicos,105
2018,2,malas_acessorios,142
2018,2,market_place,36
2018,2,moveis_cozinha_area_de_servico_jantar_e_jardim,63
2018,2,moveis_decoracao,1604
2018,2,moveis_escritorio,315
2018,2,moveis_quarto,23
2018,2,moveis_sala,79
2018,2,musica,13
2018,2,papelaria,452
2018,2,pcs,42
2018,2,perfumaria,562
2018,2,pet_shop,484
2018,2,portateis_casa_forno_e_cafe,27
2018,2,portateis_cozinha_e_preparadores_de_alimentos,2
2018,2,relogios_presentes,1622
2018,2,sinalizacao_e_seguranca,70
2018,2,tablets_impressao_imagem,3
2018,2,telefonia,759
2018,2,telefonia_fixa,45
2018,2,utilidades_domesticas,1674
2018,3,agro_industria_e_comercio,48
2018,3,alimentos,180
2018,3,alimentos_bebidas,39
2018,3,artes,39
2018,3,artes_e_artesanato,20
2018,3,artigos_de_festas,16
2018,3,artigos_de_natal,19
2018,3,audio,48
2018,3,automotivo,721
2018,3,bebes,439
2018,3,bebidas,47
2018,3,beleza_saude,1633
2018,3,brinquedos,326
2018,3,cama_mesa_banho,1282
2018,3,casa_conforto,40
2018,3,casa_conforto_2,3
2018,3,casa_construcao,110
2018,3,cine_foto,17
2018,3,climatizacao,38
2018,3,consoles_games,111
2018,3,construcao_ferramentas_construcao,277
2018,3,construcao_ferramentas_ferramentas,26
2018,3,construcao_ferramentas_iluminacao,117
2018,3,construcao_ferramentas_jardim,48
2018,3,construcao_ferramentas_seguranca,41
2018,3,cool_stuff,244
2018,3,dvds_blu_ray,2
2018,3,eletrodomesticos,144
2018,3,eletrodomesticos_2,38
2018,3,eletronicos,279
2018,3,eletroportateis,68
2018,3,esporte_lazer,943
2018,3,fashion_bolsas_e_acessorios,204
2018,3,fashion_calcados,8
2018,3,fashion_esporte,1
2018,3,fashion_roupa_feminina,3
2018,3,fashion_roupa_masculina,8
2018,3,fashion_underwear_e_moda_praia,4
2018,3,ferramentas_jardim,317
2018,3,flores,2
2018,3,fraldas_higiene,7
2018,3,industria_comercio_e_negocios,24
2018,3,informatica_acessorios,846
2018,3,instrumentos_musicais,78
2018,3,livros_importados,9
2018,3,livros_interesse_geral,61
2018,3,livros_tecnicos,57
2018,3,malas_acessorios,120
2018,3,market_place,12
2018,3,moveis_colchao_e_estofado,1
2018,3,moveis_cozinha_area_de_servico_jantar_e_jardim,45
2018,3,moveis_decoracao,873
2018,3,moveis_escritorio,112
2018,3,moveis_quarto,22
2018,3,moveis_sala,95
2018,3,musica,9
2018,3,papelaria,361
2018,3,pc_gamer,4
2018,3,pcs,20
2018,3,perfumaria,428
2018,3,pet_shop,359
2018,3,portateis_casa_forno_e_cafe,32
2018,3,portateis_cozinha_e_preparadores_de_alimentos,13
2018,3,relogios_presentes,944
2018,3,sinalizacao_e_seguranca,51
2018,3,telefonia,502
2018,3,telefonia_fixa,21
2018,3,utilidades_domesticas,1206
